student_id,module_id,marks,finalScore,pk
1000,4,[9.0 10.0 10.0 10.0],0,1
1000,6,[10.0 10.0 9.5 10.0],0,2
1000,8,[10.0 10.0 10.0],0,3
1000,9,[10.0 9.0 10.0],0,4
1001,4,[8.0 8.0 8.0 9.0],0,5
1001,6,[7.0 8.5 8.2 8.0],0,6
1001,8,[8.0 7.5 7.5],0,7
1001,9,[8.5 9.0 7.5],0,8
1002,4,[5.0 5.0 6.0 5.0],0,9
1002,6,[6.5 7.0 5.5 8.5],0,10
1002,8,[9.0 7.0 7.0],0,11
1002,9,[10.0 10.0 5.5],0,12
1003,4,[6.0 4.0 7.0 9.0],0,13
1003,6,[5.5 5.0 6.5 7.0],0,14
1003,8,[9.0 8.0 7.0],0,15
1003,9,[7.0 7.0 7.0],0,16
1004,4,[10.0 9.0 10.0 9.0],0,17
1004,6,[7.0 5.0 8.0 6.0],0,18
1004,8,[2.0 7.0 7.0],0,19
1004,9,[5.0 6.0 10.0],0,20
1005,5,[9.0 9.0],0,21
1005,7,[9.0 10.0 10.0 10.0],0,22
1005,8,[10.0 10.0 10.0],0,23
1005,10,[8.0 9.0 8.0],0,24
1006,5,[6.0 9.0],0,25
1006,7,[8.0 8.0 8.0 9.0],0,26
1006,8,[8.0 7.5 7.5],0,27
1006,10,[6.5 9.0 9.5],0,28
1007,5,[5.0 6.0],0,29
1007,7,[5.0 5.0 6.0 5.0],0,30
1007,8,[10.0 10.0 10.0],0,31
1007,10,[8.5 10.0 8.5],0,32
1008,5,[9.0 7.0],0,33
1008,7,[6.0 4.0 7.0 9.0],0,34
1008,8,[9.0 8.0 7.0],0,35
1008,10,[7.5 8.0 10.0],0,36
1009,5,[8.0 5.0],0,37
1009,7,[10.0 9.0 8.0 9.0],0,38
1009,8,[8.0 9.0 10.0],0,39
1009,10,[10.0 6.0 10.0],0,40
